#id	length
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4326/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4402/ccs	1161
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4462/ccs	1132
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4594/ccs	625
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4616/ccs	1162
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4650/ccs	1415
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4663/ccs	663
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4787/ccs	542
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4825/ccs	765
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4833/ccs	886
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4845/ccs	379
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4846/ccs	567
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4916/ccs	850
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4982/ccs	900
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5003/ccs	1376
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5019/ccs	1099
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5087/ccs	884
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5112/ccs	553
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5157/ccs	655
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5167/ccs	1059
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5187/ccs	735
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5207/ccs	803
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5232/ccs	1157
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5278/ccs	568
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5302/ccs	401
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5314/ccs	793
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5446/ccs	5376
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5459/ccs	494
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5551/ccs	676
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5552/ccs	635
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5639/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/5657/ccs	887
